,Year_Birth,Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,web_purchases,cat_purchases,in_store_purchases,NumWebVisitsMonth,Complain,children,accepted_offer,total_purchases,enroll_yr,total_spent
0,1957,College,Single,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,1,22,2012,1617
1,1954,College,Single,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,2,0,4,2014,27
2,1965,College,Coupled,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,20,2013,776
3,1984,College,Coupled,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,1,0,6,2014,53
4,1981,PhD,Married,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,1,0,14,2014,422
5,1967,Masters,Coupled,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,1,0,20,2013,716
6,1971,College,Single,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,1,0,17,2012,590
7,1985,PhD,Married,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,1,0,8,2013,169
8,1974,PhD,Coupled,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,1,1,5,2013,46
9,1950,PhD,Coupled,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,0,2,1,1,2014,49
10,1983,College,Married,52247.25135379061,11,5,5,6,0,2,1,1,1,0,2,7,0,1,0,3,2013,19
11,1976,High_school,Married,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,5,2012,61
12,1959,College,Single,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,15,2013,1102
13,1952,Masters,Single,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,0,2,0,12,2013,310
14,1987,College,Married,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,4,2012,46
15,1946,PhD,Single,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,3,25,2012,1315
16,1980,College,Married,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,0,2,0,6,2012,96
17,1946,College,Coupled,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,11,2012,317
18,1949,Masters,Married,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,0,1,1,24,2013,1782
19,1985,Masters,Single,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,0,1,0,6,2012,133
20,1982,College,Married,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,11,2012,316
21,1979,College,Married,2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,0,1,0,28,2013,1730
22,1949,PhD,Married,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,0,1,1,14,2012,972
23,1954,PhD,Married,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,1,0,17,2014,544
24,1951,College,Coupled,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,1,0,13,2013,444
25,1969,College,Single,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,6,2013,75
26,1976,College,Married,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,0,2,0,10,2013,257
27,1986,College,Single,52247.25135379061,19,5,1,3,3,263,362,0,27,0,0,1,0,1,0,27,2013,637
28,1989,College,Married,38360.0,26,36,2,42,20,21,10,2,2,1,4,3,0,1,0,7,2013,131
29,1965,PhD,Married,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,25,2013,1672
30,1989,Masters,Single,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,6,2014,30
31,1963,Masters,Coupled,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,10,2013,318
32,1970,College,Coupled,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,0,1,1,7,2012,120
33,1952,PhD,Single,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,0,2,1,11,2012,302
34,1946,Masters,Married,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,17,2013,1196
35,1951,Masters,Single,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,0,2,0,5,2013,65
36,1970,PhD,Married,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,0,1,0,23,2013,913
37,1976,Masters,Married,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,0,1,0,6,2013,81
38,1973,College,Single,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,1,0,5,2014,67
39,1943,PhD,Single,48948.0,53,437,8,206,160,49,42,2,7,10,5,6,0,0,2,22,2013,902
40,1980,College,Married,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,0,1,0,19,2013,1395
41,1985,Masters,Married,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,0,1,0,5,2013,53
42,1957,College,Coupled,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,1,0,3,2012,22
43,1959,PhD,Single,52247.25135379061,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,8,2013,186
44,1975,Masters,Married,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,0,1,0,5,2013,31
45,1976,College,Single,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,15,2014,984
46,1996,Masters,Married,7500.0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,1,7,2012,122
47,1968,College,Coupled,41728.0,92,13,6,15,3,5,13,1,2,0,2,10,0,1,0,4,2013,55
48,1951,College,Single,52247.25135379061,96,48,5,48,6,10,7,3,2,1,4,6,0,3,0,7,2014,124
49,1954,PhD,Married,72550.0,39,826,50,317,50,38,38,9,5,2,12,8,0,2,0,19,2012,1319
50,1957,College,Single,65486.0,29,245,19,125,37,67,14,1,4,2,10,2,0,1,0,16,2014,507
51,1964,Masters,Married,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,28,2012,1693
52,1977,College,Single,35790.0,54,12,6,20,30,1,3,2,2,0,3,7,0,1,0,5,2013,72
53,1977,College,Single,82582.0,54,510,120,550,156,40,241,1,4,9,7,1,0,0,3,20,2014,1617
